ChartType,Time,Begin,High,Low,Last,Average,Volume,
m, 10:08:00-000, 1349.00, 1357.00, 1345.00, 1350.00, 1350.15, 985
m, 10:09:00-000, 1350.00, 1357.00, 1343.00, 1350.00, 1349.50, 727
m, 10:10:00-000, 1349.00, 1357.00, 1344.00, 1348.00, 1349.28, 1023
m, 10:11:00-000, 1349.00, 1356.00, 1344.00, 1348.00, 1349.93, 326
m, 10:12:00-000, 1350.00, 1356.00, 1342.00, 1354.00, 1349.06, 968
m, 10:13:00-000, 1353.00, 1356.00, 1342.00, 1350.00, 1349.59, 718
m, 10:14:00-000, 1352.00, 1355.00, 1343.00, 1349.00, 1349.01, 1086
m, 10:15:00-000, 1352.00, 1355.00, 1341.00, 1350.00, 1348.88, 289
m, 10:16:00-000, 1350.00, 1357.00, 1341.00, 1350.00, 1349.40, 1183
m, 10:17:00-000, 1353.00, 1356.00, 1342.00, 1350.00, 1349.31, 749
m, 10:18:00-000, 1349.00, 1356.00, 1344.00, 1349.00, 1349.52, 1002
m, 10:19:00-000, 1350.00, 1357.00, 1345.00, 1352.00, 1351.58, 363
m, 10:20:00-000, 1353.00, 1356.00, 1342.00, 1349.00, 1349.38, 998
m, 10:21:00-000, 1348.00, 1356.00, 1344.00, 1348.00, 1349.60, 744
m, 10:22:00-000, 1350.00, 1357.00, 1342.00, 1348.00, 1348.75, 1023
m, 10:23:00-000, 1350.00, 1354.00, 1341.00, 1350.00, 1349.05, 328
m, 10:24:00-000, 1351.00, 1358.00, 1344.00, 1351.00, 1350.72, 1136
m, 10:25:00-000, 1352.00, 1356.00, 1343.00, 1350.00, 1349.91, 681
m, 10:26:00-000, 1350.00, 1356.00, 1343.00, 1350.00, 1349.74, 951
m, 10:27:00-000, 1351.00, 1356.00, 1344.00, 1351.00, 1349.76, 254
m, 10:28:00-000, 1351.00, 1356.00, 1343.00, 1351.00, 1349.42, 1063
m, 10:29:00-000, 1352.00, 1354.00, 1345.00, 1351.00, 1349.81, 670
m, 10:30:00-000, 1349.00, 1357.00, 1344.00, 1352.00, 1349.08, 993
m, 10:31:00-000, 1350.00, 1355.00, 1343.00, 1350.00, 1349.58, 393
m, 10:32:00-000, 1345.00, 1356.00, 1342.00, 1351.00, 1349.54, 1028
m, 10:33:00-000, 1351.00, 1356.00, 1343.00, 1354.00, 1349.62, 710
m, 10:34:00-000, 1354.00, 1357.00, 1344.00, 1346.00, 1349.60, 923
m, 10:35:00-000, 1350.00, 1356.00, 1345.00, 1354.00, 1350.67, 344
m, 10:36:00-000, 1356.00, 1357.00, 1342.00, 1352.00, 1349.82, 1088
m, 10:37:00-000, 1351.00, 1357.00, 1344.00, 1350.00, 1349.75, 704
m, 10:38:00-000, 1348.00, 1357.00, 1343.00, 1353.00, 1349.92, 998
m, 10:39:00-000, 1349.00, 1356.00, 1345.00, 1350.00, 1349.58, 356
m, 10:40:00-000, 1349.00, 1357.00, 1343.00, 1344.00, 1349.33, 1132
m, 10:41:00-000, 1349.00, 1355.00, 1345.00, 1355.00, 1349.16, 757
m, 10:42:00-000, 1355.00, 1356.00, 1343.00, 1348.00, 1350.02, 924
m, 10:43:00-000, 1349.00, 1357.00, 1344.00, 1350.00, 1350.85, 357
m, 10:44:00-000, 1349.00, 1357.00, 1344.00, 1350.00, 1349.74, 956
m, 10:45:00-000, 1349.00, 1357.00, 1344.00, 1351.00, 1349.70, 679
